Şehir,Yer Adı,Kategori,Açıklama (TR),Description (EN)
Amsterdam,A'DAM Lookout,Manzara,IJ Nehri kıyısında yükselen kuleden 360 derecelik Amsterdam panoraması. Adrenalin sevenler için 'Over the Edge' salıncağıyla ayaklarınızı şehirden kesebilirsiniz.,"An observation deck with a stunning birds-eye view of Amsterdam. Daring visitors can try 'Over the Edge,' Europe's highest swing, dangling 100 meters above the ground."
Amsterdam,Albert Cuyp Markt,Deneyim,"Hollanda'nın en meşhur ve en büyük sokak pazarı. De Pijp'in kalbinde, taze stroopwafel kokuları ve yerel peynir tezgahları arasında Amsterdam'ın gerçek enerjisini hissedeceğiniz yer.","The most famous and lively street market in the Netherlands. Located in the heart of De Pijp, it's the perfect spot to try fresh stroopwafels, herring, and soak up the local multicultural vibe."
Amsterdam,Albert Heijn Museum (Zaanse Schans),Müze,Hollanda'nın ünlü market zinciri Albert Heijn'in 1887'deki ilk dükkanının rekonstrüksiyonu. Nostaljik bir alışveriş deneyimi sunar.,A reconstruction of the first shop opened in 1887 by the famous Dutch supermarket chain Albert Heijn. Offers a nostalgic shopping experience.
Amsterdam,Alpha coffee Amsterdam,Cafe,"Amstel nehri kıyısında, Yunan misafirperverliğini hissettiren sıcak bir kafe. Özellikle ıspanaklı böreği (spanakopita) ve ev yapımı sandviçleri çok seviliyor.",Amsterdam içindeki popüler mekanlardan biri. 4.9 puan ve 287 yorum ile ziyaretçilerin beğenisini kazanmış.
Amsterdam,Amsterdam City Farm Tasting Room & Restaurant,Restoran,"Hint mutfağını ""çiftlikten sofraya"" konseptiyle birleştiren, tadım menüleri sunan özgün bir restoran. Şef Devinder'in modern dokunuşlarıyla sebze ağırlıklı bir ziyafet.",Amsterdam içindeki popüler mekanlardan biri. 4.9 puan ve 169 yorum ile ziyaretçilerin beğenisini kazanmış.
Amsterdam,Amsterdam Forest (Amsterdamse Bos),Park,"Central Park'tan 3 kat büyük insan yapımı orman! Keçi çiftliği, kano parkuru, açık hava tiyatrosu. Gerçek doğa.","Man-made forest 3 times bigger than Central Park! Goat farm, canoe course, open air theatre. Real nature."
Amsterdam,Amsterdam Museum,Müze,Amsterdam'ın küçük bir balıkçı köyünden bugünkü dünya kentine dönüşümünü anlatan etkileyici şehir müzesi.,An impressive museum tracing Amsterdam's evolution from a small fishing village to today's global city.
Amsterdam,Anne Frank Evi,Müze,İkinci Dünya Savaşı sırasında Anne Frank ve ailesinin iki yıl boyunca Nazi zulmünden saklandığı gizli bölme. Duygusal ve sarsıcı bir deneyim.,The secret annex where Anne Frank and her family hid from Nazi persecution for two years during WWII. A moving and poignant experience.
Amsterdam,Artis Zoo,Müze,Hollanda'nın en eski hayvanat bahçesi (1838). Şehir merkezinde bir vaha. Akvaryum ve planetaryum da var.,Netherlands' oldest zoo (1838). An oasis in city center. Aquarium and planetarium included.
Amsterdam,Backstage Bar,Bar,"Leidseplein yakınında, rock'n roll ruhunu yaşatan samimi bir bar. Uygun fiyatlı içkileri, bilardo masası ve rahat atmosferiyle akşam takılmaları için ideal.",Amsterdam içindeki popüler mekanlardan biri. 4.9 puan ve 514 yorum ile ziyaretçilerin beğenisini kazanmış.
Amsterdam,Bar Bacán,Bar,"Amsterdam'da Meksika rüzgarı. Geniş Tekila ve Mezcal koleksiyonu, ""Passion Ahumado"" gibi isli kokteylleri ve sıcak Latin atmosferiyle öne çıkıyor.",Amsterdam içindeki popüler mekanlardan biri. 4.8 puan ve 306 yorum ile ziyaretçilerin beğenisini kazanmış.
Amsterdam,Bar Blij,Bar,"Şehrin en neşeli barı olma iddiasında. Tropikal slush kokteylleri, ekşi mayalı tostları ve ev hissi veren rahat ortamıyla pozitif enerji depolama noktası.",Amsterdam içindeki popüler mekanlardan biri. 4.9 puan ve 230 yorum ile ziyaretçilerin beğenisini kazanmış.
Amsterdam,Bar Brother,Bar,"Otantik bir İngiliz pub deneyimi. Pazar rostosu, geniş bira seçkisi ve samimi ortamıyla gurbetteki İngilizlerin ve yerlilerin buluşma noktası.",Amsterdam içindeki popüler mekanlardan biri. 4.9 puan ve 249 yorum ile ziyaretçilerin beğenisini kazanmış.
Amsterdam,Bar Mokum,Bar,Pijp bölgesinde gizli bir kokteyl cenneti (Speakeasy). Hollanda içkileriyle hazırlanan yaratıcı kokteylleri ve yerel esintili dekorasyonuyla keşfedilmeyi bekliyor.,Amsterdam içindeki popüler mekanlardan biri. 4.8 puan ve 852 yorum ile ziyaretçilerin beğenisini kazanmış.
Amsterdam,Bar TwentySeven,Bar,"Dam Meydanı manzaralı, ultra lüks ve sofistike bir bar. Oniks bar tezgahı, nadir viskileri ve ""Fine Drinking"" konseptiyle özel geceler için.",Amsterdam içindeki popüler mekanlardan biri. 4.7 puan ve 495 yorum ile ziyaretçilerin beğenisini kazanmış.
Amsterdam,Bariq - Greek Food & Wines,Restoran,"Overtoom'da modern bir Yunan tavernası. Brunch için Dakos salatası, akşam için zengin meze tabakları ve özenle seçilmiş Yunan şarapları.",Amsterdam içindeki popüler mekanlardan biri. 4.9 puan ve 574 yorum ile ziyaretçilerin beğenisini kazanmış.
Amsterdam,Baux Pastry,Cafe,"Noord bölgesinde Fransız pastacılığının zirvesi. Şef Martin'in elinden çıkan tereyağlı kruvasanları ve ""pain au chocolat""sı şehirde efsaneleşmiş durumda.",Amsterdam içindeki popüler mekanlardan biri. 5 puan ve 51 yorum ile ziyaretçilerin beğenisini kazanmış.
Amsterdam,Beer Tasting Room In The Wildeman,Cafe,"Eski bir damıtım evinde kurulu, müziksiz ve sakin bir bira tapınağı. 250'den fazla bira çeşidiyle gerçek bira tutkunlarının mabedi.",Quirky bar in a former distillery stocking over 250 bottle & tap beers from throughout Europe.
Amsterdam,Begijnhof,Tarihi,"Şehrin gürültülü merkezinde saklı, 14. yüzyıldan kalma huzurlu bir avlu. Amsterdam'ın en eski evlerinden birine ev sahipliği yapan bu dini sığınak, sessizliğiyle büyüler.","A serene, medieval courtyard hidden behind a heavy wooden door. This historic sanctuary for the Beguines contains some of the oldest houses and a beautiful hidden church."
Amsterdam,"Blin Queen. Specialty pancakes, coffee & wine",Cafe,Blini (Rus kribi) üzerine uzmanlaşmış bir lezzet durağı. Hem havyarlı tuzlu çeşitleri hem de meyveli tatlı seçenekleriyle kahvaltıdan akşama her saate uygun.,Amsterdam içindeki popüler mekanlardan biri. 4.8 puan ve 2098 yorum ile ziyaretçilerin beğenisini kazanmış.
Amsterdam,Bloemenmarkt,Deneyim,"Bloemenmarkt, Amsterdam'nin Centrum bölgesinde bulunan dikkat çekici bir nokta. Eşsiz özellikleri ve sunduğu deneyimle ziyaretçilerine unutulmaz anlar yaşatıyor. Bölgenin en çok ziyaret edilen yerlerinden biri olarak her gezginin listesinde yer almalı.","Bloemenmarkt is a noteworthy destination in Amsterdam's Centrum district. With its unique features and experiences, it offers unforgettable moments to visitors. As one of the most visited places in the area, it deserves a spot on every traveler's list."
Amsterdam,Blue Amsterdam,Restoran,Kalverpassage alışveriş merkezinin tepesinde yer alan 360 derece Amsterdam manzaralı modern kafe. Şehri kuş bakışı izlemek için en iyi gizli noktalardan biridir.,A modern cafe with a 360-degree view of Amsterdam located atop the Kalverpassage shopping center. One of the best hidden spots for a bird's-eye view of the city.
Amsterdam,Brouwerij 't IJ,Restoran,Dev bir yel değirmeninin (De Gooyer) hemen altındaki tarihi bira fabrikası. Şehirde 'değirmen birası' olarak bilinen yerel ve taze biraları tatmak için en iyi adres.,An organic microbrewery located in a former bathhouse next to a giant wooden windmill. It offers a great range of fresh house-brewed beers and simple snacks.
Amsterdam,Brouwerij de Prael,Restoran,"Kırmızı Fener Mahallesi'nde yer alan, sosyal sorumluluk projesi olarak kurulan ve harika bira çeşitleri sunan butik bir bira fabrikası ve barı.","A boutique brewery and bar located in the Red Light District, established as a social enterprise and offering an excellent variety of beers."
Amsterdam,CIMA Rooftop Bar,Restoran,"Renaissance Hotel'in çatısında, panoramik şehir manzaralı Meksika esintili bar. Gün batımında ""taptails"" (musluktan kokteyl) yudumlamak için harika.",Amsterdam içindeki popüler mekanlardan biri. 4.8 puan ve 157 yorum ile ziyaretçilerin beğenisini kazanmış.
