Yapılacak şey;Şehir;Yer Adı;Açıklama (TR);Description (EN);
İngilizceden çevirsin;Venedik;Suso;Üstü waffle kaplı yaratıcı dondurmalar, vegan seçenekler ve pastalar satan popüler mekan.;Üstü waffle kaplı yaratıcı dondurmalar, vegan seçenekler ve pastalar satan popüler mekan.;
İngilizceden çevirsin;Madrid;El Columpio Bar;Elegant dining room & bar with retro-chic decor, serving brunch, cocktails & classic Spanish dishes.;Madrid içindeki popüler mekanlardan biri. 4.9 puan ve 68 yorum ile ziyaretçilerin beğenisini kazanmış.;
İngilizceden çevirsin;Madrid;Barrio de las Letras;Yerel yaşamın en canlı hali Barrio de las Letras'de karşınıza çıkıyor. Huertas bölgesindeki bu semt, sabah pazarları, aile işletmesi kafeler, vintage dükkanlar ve gece hayatıyla 24 saat yaşayan bir atmosfer sunuyor.;Literary Quarter. Cervantes, Lope de Vega lived here. Poems in gold letters on ground.;
İngilizceden çevirsin;Madrid;Chueca;Yerel yaşamın en canlı hali Chueca'de karşınıza çıkıyor. Chueca bölgesindeki bu semt, sabah pazarları, aile işletmesi kafeler, vintage dükkanlar ve gece hayatıyla 24 saat yaşayan bir atmosfer sunuyor.;Madrid's LGBT neighborhood. Colorful streets, terrazas, nightlife. Pride festival huge!;
İngilizceden çevirsin;Napoli;Gran Caffè Gambrinus;Otantik lezzetlerin adresi Gran Caffè Gambrinus, Centro bölgesinin en çok tercih edilen mekanlarından. Sıcak ambiyansı, özenli servisi ve zengin menüsüyle hem yerel halkın hem turistlerin vazgeçilmezi haline gelmiş.;Gran Caffè Gambrinus hosts gourmets in Centro as one of the best representatives of Napoli's cuisine. Fresh ingredients from local farmers, recipes passed down through generations, and masterful presentations satisfy every palate.;
İngilizceden çevirsin;Madrid;La Latina;Yerel yaşamın en canlı hali La Latina'de karşınıza çıkıyor. La Latina bölgesindeki bu semt, sabah pazarları, aile işletmesi kafeler, vintage dükkanlar ve gece hayatıyla 24 saat yaşayan bir atmosfer sunuyor.;Madrid's most authentic tapas neighborhood. Narrow streets, local bars. Sunday El Rastro flea market!;
İngilizceden çevirsin;Hong Kong;Aberdeen & Jumbo;Aksiyon dolu bir gün geçirmek isteyenler için Aberdeen & Jumbo ideal bir tercih. Aberdeen'daki bu mekanda hem fiziksel aktiviteler hem de interaktif deneyimlerle enerjinizi yükseltebilirsiniz.;Aberdeen & Jumbo is a great choice for those seeking fun and adventure in Hong Kong. This venue in Aberdeen promises enjoyable hours with its adrenaline-filled activities, educational experiences and family-friendly events.;
İngilizceden çevirsin;Napoli;Amalfi Coast;Aksiyon dolu bir gün geçirmek isteyenler için Amalfi Coast ideal bir tercih. Amalfi (Günübirlik)'daki bu mekanda hem fiziksel aktiviteler hem de interaktif deneyimlerle enerjinizi yükseltebilirsiniz.;UNESCO! Positano, Amalfi, Ravello. Colorful villages on steep cliffs. Day trip tour.;
İngilizceden çevirsin;Paris;Bateaux Mouches;Aksiyon dolu bir gün geçirmek isteyenler için Bateaux Mouches ideal bir tercih. 7. Bölge'daki bu mekanda hem fiziksel aktiviteler hem de interaktif deneyimlerle enerjinizi yükseltebilirsiniz.;Seine river cruise. All major landmarks from water level. Day or night - both different experiences.;
İngilizceden çevirsin;İstanbul;Boğaz Turu;Aksiyon dolu bir gün geçirmek isteyenler için Boğaz Turu ideal bir tercih. Eminönü'daki bu mekanda hem fiziksel aktiviteler hem de interaktif deneyimlerle enerjinizi yükseltebilirsiniz.;Boğaz Turu is a great choice for those seeking fun and adventure in İstanbul. This venue in Eminönü promises enjoyable hours with its adrenaline-filled activities, educational experiences and family-friendly events.;
İngilizceden çevirsin;Venedik;Burano Adası;Aksiyon dolu bir gün geçirmek isteyenler için Burano Adası ideal bir tercih. Burano'daki bu mekanda hem fiziksel aktiviteler hem de interaktif deneyimlerle enerjinizi yükseltebilirsiniz.;Instagram dream - colorful houses! Fishing village, lace production. 45 min by vaporetto.;
İngilizceden çevirsin;Hong Kong;Central Escalator;Aksiyon dolu bir gün geçirmek isteyenler için Central Escalator ideal bir tercih. Central'daki bu mekanda hem fiziksel aktiviteler hem de interaktif deneyimlerle enerjinizi yükseltebilirsiniz.;Central Escalator is a great choice for those seeking fun and adventure in Hong Kong. This venue in Central promises enjoyable hours with its adrenaline-filled activities, educational experiences and family-friendly events.;
İngilizceden çevirsin;Hong Kong;Cheung Chau Island;Aksiyon dolu bir gün geçirmek isteyenler için Cheung Chau Island ideal bir tercih. Cheung Chau'daki bu mekanda hem fiziksel aktiviteler hem de interaktif deneyimlerle enerjinizi yükseltebilirsiniz.;Cheung Chau Island is a great choice for those seeking fun and adventure in Hong Kong. This venue in Cheung Chau promises enjoyable hours with its adrenaline-filled activities, educational experiences and family-friendly events.;
İngilizceden çevirsin;Marakeş;Essaouira Günübirlik;Aksiyon dolu bir gün geçirmek isteyenler için Essaouira Günübirlik ideal bir tercih. Essaouira'daki bu mekanda hem fiziksel aktiviteler hem de interaktif deneyimlerle enerjinizi yükseltebilirsiniz.;Essaouira Günübirlik is a great choice for those seeking fun and adventure in Marakeş. This venue in Essaouira promises enjoyable hours with its adrenaline-filled activities, educational experiences and family-friendly events.;
İngilizceden çevirsin;Venedik;Gondol Turu;Aksiyon dolu bir gün geçirmek isteyenler için Gondol Turu ideal bir tercih. Merkez'daki bu mekanda hem fiziksel aktiviteler hem de interaktif deneyimlerle enerjinizi yükseltebilirsiniz.;Gondol Turu is a great choice for those seeking fun and adventure in Venedik. This venue in Merkez promises enjoyable hours with its adrenaline-filled activities, educational experiences and family-friendly events.;
İngilizceden çevirsin;Seul;Imjingak Resort (DMZ);Aksiyon dolu bir gün geçirmek isteyenler için Imjingak Resort (DMZ) ideal bir tercih. DMZ'daki bu mekanda hem fiziksel aktiviteler hem de interaktif deneyimlerle enerjinizi yükseltebilirsiniz.;Imjingak Resort (DMZ) is a great choice for those seeking fun and adventure in Seul. This venue in DMZ promises enjoyable hours with its adrenaline-filled activities, educational experiences and family-friendly events.;
İngilizceden çevirsin;Napoli;Ischia;Aksiyon dolu bir gün geçirmek isteyenler için Ischia ideal bir tercih. Ischia (Günübirlik)'daki bu mekanda hem fiziksel aktiviteler hem de interaktif deneyimlerle enerjinizi yükseltebilirsiniz.;Ischia is a great choice for those seeking fun and adventure in Napoli. This venue in Ischia (Günübirlik) promises enjoyable hours with its adrenaline-filled activities, educational experiences and family-friendly events.;
İngilizceden çevirsin;Porto;Leça da Palmeira;Aksiyon dolu bir gün geçirmek isteyenler için Leça da Palmeira ideal bir tercih. Leça'daki bu mekanda hem fiziksel aktiviteler hem de interaktif deneyimlerle enerjinizi yükseltebilirsiniz.;Seawater pools carved into rocks. Álvaro Siza's first masterpiece. Swimming experience.;
İngilizceden çevirsin;Venedik;Murano Adası;Aksiyon dolu bir gün geçirmek isteyenler için Murano Adası ideal bir tercih. Murano'daki bu mekanda hem fiziksel aktiviteler hem de interaktif deneyimlerle enerjinizi yükseltebilirsiniz.;Island producing glass for 700 years! Glassblower workshops, glass sculptures. 10 min by vaporetto.;
