Şehir;Yer Adı;Kategori;Bölge;Rating;Açıklama (TR);Description (EN)
Amsterdam;A'DAM Lookout;Manzara;Noord;4.4;IJ Nehri kıyısında yükselen kuleden 360 derecelik Amsterdam panoraması. Adrenalin sevenler için 'Over the Edge' salıncağıyla ayaklarınızı şehirden kesebilirsiniz.;An observation deck with a stunning birds-eye view of Amsterdam. Daring visitors can try 'Over the Edge,' Europe's highest swing, dangling 100 meters above the ground.
Amsterdam;Albert Cuyp Markt;Deneyim;De Pijp;4.5;Hollanda'nın en meşhur ve en büyük sokak pazarı. De Pijp'in kalbinde, taze stroopwafel kokuları ve yerel peynir tezgahları arasında Amsterdam'ın gerçek enerjisini hissedeceğiniz yer.;The most famous and lively street market in the Netherlands. Located in the heart of De Pijp, it's the perfect spot to try fresh stroopwafels, herring, and soak up the local multicultural vibe.
Amsterdam;Albert Heijn Museum (Zaanse Schans);Müze;Zaanse Schans;4.5;Hollanda'nın ünlü market zinciri Albert Heijn'in 1887'deki ilk dükkanının rekonstrüksiyonu. Nostaljik bir alışveriş deneyimi sunar.;A reconstruction of the first shop opened in 1887 by the famous Dutch supermarket chain Albert Heijn. Offers a nostalgic shopping experience.
Amsterdam;Alpha coffee Amsterdam;Cafe;Amstel 47;4.9;Amsterdam'nin popüler kafelerinden biri. Kahve tutkunları için mükemmel bir mola noktası, samimi atmosfer ve lezzetli atıştırmalıklar.;Specialty coffee shop with quality beans and expert brewing.
Amsterdam;Amsterdam City Farm Tasting Room & Restaurant;Restoran;Czaar Peterstraat 171e;4.9;Amsterdam'nin sevilen restoranlarından biri. Yerel lezzetler ve özenli sunum ile gurme bir deneyim sunuyor.;Farm-to-table restaurant with tasting experiences on a city farm.
Amsterdam;Amsterdam Forest (Amsterdamse Bos);Park;Amstelveen;4.7;Central Park'tan 3 kat büyük insan yapımı orman! Keçi çiftliği, kano parkuru, açık hava tiyatrosu. Gerçek doğa.;Man-made forest 3 times bigger than Central Park! Goat farm, canoe course, open air theatre. Real nature.
Amsterdam;Amsterdam Museum;Müze;Centrum;4.6;Amsterdam'ın küçük bir balıkçı köyünden bugünkü dünya kentine dönüşümünü anlatan etkileyici şehir müzesi.;An impressive museum tracing Amsterdam's evolution from a small fishing village to today's global city.
Amsterdam;Anne Frank Evi;Müze;Jordaan;4.7;İkinci Dünya Savaşı sırasında Anne Frank ve ailesinin iki yıl boyunca Nazi zulmünden saklandığı gizli bölme. Duygusal ve sarsıcı bir deneyim.;The secret annex where Anne Frank and her family hid from Nazi persecution for two years during WWII. A moving and poignant experience.
Amsterdam;Artis Zoo;Müze;Plantage;4.5;Hollanda'nın en eski hayvanat bahçesi (1838). Şehir merkezinde bir vaha. Akvaryum ve planetaryum da var.;Netherlands' oldest zoo (1838). An oasis in city center. Aquarium and planetarium included.
Amsterdam;Backstage Bar;Bar;Oudezijds Armsteeg 7;4.9;Amsterdam'nin atmosferik barlarından biri. Özenle hazırlanmış kokteyller, samimi ortam ve yerel içki seçenekleriyle gece hayatının vazgeçilmez durağı.;Rock-themed bar with live music atmosphere and drinks.
Amsterdam;Bar Bacán;Bar;Reguliersdwarsstraat 105;4.8;Amsterdam'nin atmosferik barlarından biri. Özenle hazırlanmış kokteyller, samimi ortam ve yerel içki seçenekleriyle gece hayatının vazgeçilmez durağı.;Latin American-inspired bar with cocktails and vibrant vibes.
Amsterdam;Bar Blij;Bar;Bartholomeus Diazstraat 15;4.9;Amsterdam'nin atmosferik barlarından biri. Özenle hazırlanmış kokteyller, samimi ortam ve yerel içki seçenekleriyle gece hayatının vazgeçilmez durağı.;Happy bar with cheerful atmosphere and quality drinks.
Amsterdam;Bar Brother;Bar;Curaçaostraat 95;4.9;Amsterdam'nin atmosferik barlarından biri. Özenle hazırlanmış kokteyller, samimi ortam ve yerel içki seçenekleriyle gece hayatının vazgeçilmez durağı.;Brotherhood bar with craft beers and friendly service.
Amsterdam;Bar Mokum;Bar;Ferdinand Bolstraat 11;4.8;Amsterdam'nin atmosferik barlarından biri. Özenle hazırlanmış kokteyller, samimi ortam ve yerel içki seçenekleriyle gece hayatının vazgeçilmez durağı.;Amsterdam local's bar with Dutch character and quality drinks.
Amsterdam;Bar TwentySeven;Bar;Dam 27;4.7;Amsterdam'nin atmosferik barlarından biri. Özenle hazırlanmış kokteyller, samimi ortam ve yerel içki seçenekleriyle gece hayatının vazgeçilmez durağı.;Sophisticated cocktail bar with refined drinks and elegant setting.
Amsterdam;Bariq - Greek Food & Wines;Restoran;Overtoom 411;4.9;Amsterdam'nin sevilen restoranlarından biri. Yerel lezzetler ve özenli sunum ile gurme bir deneyim sunuyor.;Greek restaurant with authentic Mediterranean cuisine and wines.
Amsterdam;Baux Pastry;Cafe;Meteorenweg 280;5;Amsterdam'nin popüler kafelerinden biri. Kahve tutkunları için mükemmel bir mola noktası, samimi atmosfer ve lezzetli atıştırmalıklar.;French-inspired pastry shop with exquisite desserts and cakes.
Amsterdam;Beer Tasting Room In The Wildeman;Cafe;Kolksteeg 3;4.7;Eski bir damıtım evinde kurulu, müziksiz ve sakin bir bira tapınağı. 250'den fazla bira çeşidiyle gerçek bira tutkunlarının mabedi.;Quirky bar in a former distillery stocking over 250 bottle & tap beers from throughout Europe.
Amsterdam;Begijnhof;Tarihi;Centrum;4.5;Şehrin gürültülü merkezinde saklı, 14. yüzyıldan kalma huzurlu bir avlu. Amsterdam'ın en eski evlerinden birine ev sahipliği yapan bu dini sığınak, sessizliğiyle büyüler.;A serene, medieval courtyard hidden behind a heavy wooden door. This historic sanctuary for the Beguines contains some of the oldest houses and a beautiful hidden church.
Amsterdam;Blin Queen. Specialty pancakes, coffee & wine;Cafe;Amstel 102;4.8;Amsterdam'nin popüler kafelerinden biri. Kahve tutkunları için mükemmel bir mola noktası, samimi atmosfer ve lezzetli atıştırmalıklar.;Specialty pancake café with coffee and wine.
Amsterdam;Bloemenmarkt;Deneyim;Centrum;4.2;Bloemenmarkt, Amsterdam'nin Centrum bölgesinde bulunan dikkat çekici bir nokta. Eşsiz özellikleri ve sunduğu deneyimle ziyaretçilerine unutulmaz anlar yaşatıyor. Bölgenin en çok ziyaret edilen yerlerinden biri olarak her gezginin listesinde yer almalı.;Bloemenmarkt is a noteworthy destination in Amsterdam's Centrum district. With its unique features and experiences, it offers unforgettable moments to visitors. As one of the most visited places in the area, it deserves a spot on every traveler's list.
Amsterdam;Blue Amsterdam;Restoran;Centrum;4.4;Kalverpassage alışveriş merkezinin tepesinde yer alan 360 derece Amsterdam manzaralı modern kafe. Şehri kuş bakışı izlemek için en iyi gizli noktalardan biridir.;A modern cafe with a 360-degree view of Amsterdam located atop the Kalverpassage shopping center. One of the best hidden spots for a bird's-eye view of the city.
Amsterdam;Brouwerij 't IJ;Restoran;Oost;4.6;Dev bir yel değirmeninin (De Gooyer) hemen altındaki tarihi bira fabrikası. Şehirde 'değirmen birası' olarak bilinen yerel ve taze biraları tatmak için en iyi adres.;An organic microbrewery located in a former bathhouse next to a giant wooden windmill. It offers a great range of fresh house-brewed beers and simple snacks.
