Şehir;Yer Adı;Kategori;Açıklama (TR);Description (EN);Rating
Amsterdam;A'DAM Lookout;Manzara;IJ Nehri kıyısında yükselen kuleden 360 derecelik Amsterdam panoraması. Adrenalin sevenler için 'Over the Edge' salıncağıyla ayaklarınızı şehirden kesebilirsiniz.;An observation deck with a stunning birds-eye view of Amsterdam. Daring visitors can try 'Over the Edge,' Europe's highest swing, dangling 100 meters above the ground.;4.4
Amsterdam;Albert Cuyp Markt;Deneyim;Hollanda'nın en meşhur ve en büyük sokak pazarı. De Pijp'in kalbinde, taze stroopwafel kokuları ve yerel peynir tezgahları arasında Amsterdam'ın gerçek enerjisini hissedeceğiniz yer.;The most famous and lively street market in the Netherlands. Located in the heart of De Pijp, it's the perfect spot to try fresh stroopwafels, herring, and soak up the local multicultural vibe.;4.5
Amsterdam;Albert Heijn Museum (Zaanse Schans);Müze;Hollanda'nın ünlü market zinciri Albert Heijn'in 1887'deki ilk dükkanının rekonstrüksiyonu. Nostaljik bir alışveriş deneyimi sunar.;A reconstruction of the first shop opened in 1887 by the famous Dutch supermarket chain Albert Heijn. Offers a nostalgic shopping experience.;4.5
Amsterdam;Alpha coffee Amsterdam;Cafe;Amsterdam'nin popüler kafelerinden biri. Kahve tutkunları için mükemmel bir mola noktası, samimi atmosfer ve lezzetli atıştırmalıklar.;Specialty coffee shop with quality beans and expert brewing.;4.9
Amsterdam;Amsterdam City Farm Tasting Room & Restaurant;Restoran;Amsterdam'nin sevilen restoranlarından biri. Yerel lezzetler ve özenli sunum ile gurme bir deneyim sunuyor.;Farm-to-table restaurant with tasting experiences on a city farm.;4.9
Amsterdam;Amsterdam Forest (Amsterdamse Bos);Park;Central Park'tan 3 kat büyük insan yapımı orman! Keçi çiftliği, kano parkuru, açık hava tiyatrosu. Gerçek doğa.;Man-made forest 3 times bigger than Central Park! Goat farm, canoe course, open air theatre. Real nature.;4.7
Amsterdam;Amsterdam Museum;Müze;Amsterdam'ın küçük bir balıkçı köyünden bugünkü dünya kentine dönüşümünü anlatan etkileyici şehir müzesi.;An impressive museum tracing Amsterdam's evolution from a small fishing village to today's global city.;4.6
Amsterdam;Anne Frank Evi;Müze;İkinci Dünya Savaşı sırasında Anne Frank ve ailesinin iki yıl boyunca Nazi zulmünden saklandığı gizli bölme. Duygusal ve sarsıcı bir deneyim.;The secret annex where Anne Frank and her family hid from Nazi persecution for two years during WWII. A moving and poignant experience.;4.7
Amsterdam;Artis Zoo;Müze;Hollanda'nın en eski hayvanat bahçesi (1838). Şehir merkezinde bir vaha. Akvaryum ve planetaryum da var.;Netherlands' oldest zoo (1838). An oasis in city center. Aquarium and planetarium included.;4.5
Amsterdam;Backstage Bar;Bar;Amsterdam'nin atmosferik barlarından biri. Özenle hazırlanmış kokteyller, samimi ortam ve yerel içki seçenekleriyle gece hayatının vazgeçilmez durağı.;Rock-themed bar with live music atmosphere and drinks.;4.9
Amsterdam;Bar Bacán;Bar;Amsterdam'nin atmosferik barlarından biri. Özenle hazırlanmış kokteyller, samimi ortam ve yerel içki seçenekleriyle gece hayatının vazgeçilmez durağı.;Latin American-inspired bar with cocktails and vibrant vibes.;4.8
Amsterdam;Bar Blij;Bar;Amsterdam'nin atmosferik barlarından biri. Özenle hazırlanmış kokteyller, samimi ortam ve yerel içki seçenekleriyle gece hayatının vazgeçilmez durağı.;Happy bar with cheerful atmosphere and quality drinks.;4.9
Amsterdam;Bar Brother;Bar;Amsterdam'nin atmosferik barlarından biri. Özenle hazırlanmış kokteyller, samimi ortam ve yerel içki seçenekleriyle gece hayatının vazgeçilmez durağı.;Brotherhood bar with craft beers and friendly service.;4.9
Amsterdam;Bar Mokum;Bar;Amsterdam'nin atmosferik barlarından biri. Özenle hazırlanmış kokteyller, samimi ortam ve yerel içki seçenekleriyle gece hayatının vazgeçilmez durağı.;Amsterdam local's bar with Dutch character and quality drinks.;4.8
Amsterdam;Bar TwentySeven;Bar;Amsterdam'nin atmosferik barlarından biri. Özenle hazırlanmış kokteyller, samimi ortam ve yerel içki seçenekleriyle gece hayatının vazgeçilmez durağı.;Sophisticated cocktail bar with refined drinks and elegant setting.;4.7
