City,Index,Header (TR),Content (TR),Header (EN),Content (EN)
Amsterdam,1,📅 Ne Zaman Gidilir?,"- **Lale Mevsimi (Nisan):** Şehir ve yakındaki *Keukenhof* bahçeleri renk cümbüşüne döner. Kral Günü (27 Nisan) ise tüm şehrin turuncuya boyandığı dev bir partidir.
- **Yaz (Temmuz-Ağustos):** Tekneler kanallarla dolar, parklarda piknik yapan yerlilerle sosyalleşmek için en iyi zamandır.
- **İpucu:** Kış ayları çok rüzgarlı ve yağmurlu olabilir; ancak kanallar donarsa üzerinde buz pateni yapmak unutulmaz bir deneyimdir.",📅 Best Time to Visit,"- **Tulip Season (April):** The city and nearby *Keukenhof* gardens turn into a riot of color. King's Day (April 27) is a giant party where the whole city turns orange.
- **Summer (July-August):** Boats fill the canals, and it's the best time to socialize with locals picnicking in the parks.
- **Tip:** Winter months can be very windy and rainy; but if the canals freeze, ice skating on them is an unforgettable experience."
Amsterdam,2,🏘️ Konaklama Rehberi,"- **Jordaan:** Şehrin en karakteristik ve romantik mahallesi. Dar sokaklar, çiçekli pencereler ve butik kafeler.
- **De Pijp:** Bohem ve kozmopolit. Ünlü *Albert Cuyp* pazarı burada yer alır. Gece hayatı ve gurme duraklar için bir numara.
- **Oud-West:** Daha lokal ve sakin bir hava isteyenler için. *Foodhallen* (eski bir tramvay deposu) burada mutlaka görülmeli.",🏘️ Neighborhood Guide,"- **Jordaan:** The city's most characteristic and romantic area. Think narrow streets, flowery windows, and boutique cafes.
- **De Pijp:** Bohemian and cosmopolitan. The famous *Albert Cuyp* market is located here. Number one for nightlife and gourmet stops.
- **Oud-West:** For those who want a more local and quiet vibe. *Foodhallen* (an old tram depot) is a must-see here."
Amsterdam,3,🍽️ Ne Yenir ve İçilir?,"- **Bitterballen:** Pub'larda biranın yanında gelen meşhur kızarmış et topları. Sıcaklığına dikkat edin!
- **Stroopwafel:** İki ince gofret arası karamel. Taze yapılmış sıcak bir stroopwafel hayatınızı değiştirebilir.
- **Bisiklet Yoluna Dikkat:** Asla bisiklet yolları üzerinde durmayın veya yürümeyin. Amsterdamlılar bisiklet sürerken çok ciddidir ve çarpabilirler!
- **Yemek Saatleri:** Akşam yemeği genellikle erkendir (18:00 - 19:30). Restoran mutfakları geç saatlerde kapanabilir.",🍽️ Food & Dining Etiquette,"- **Bitterballen:** The famous fried meat balls served alongside beer in pubs. Be careful, the inside is lava hot!
- **Stroopwafel:** Caramel between two thin waffles. A freshly made hot stroopwafel can change your life.
- **Watch the Bike Lanes:** Never stand or walk on the bike paths. Amsterdammers are serious about cycling and will ring their bells (or worse) if you're in the way!
- **Meal Times:** Dinner is usually early (6:00 PM - 7:30 PM). Restaurant kitchens may close surprisingly early on weekdays."
Amsterdam,4,🚇 Ulaşım İpuçları,"- **Yürüyüş ve Tramvay:** Şehri yürüyerek veya meşhur mavi-beyaz tramvaylarla keşfetmek en kolay yoldur.
- **Ücretsiz Feribotlar:** Merkez istasyonun arkasından kalkan feribotlarla Amsterdam'ın ""Kuzey"" (Noord) kısmına ücretsiz geçebilir ve daha modern bir yüzle karşılaşabilirsiniz.
- **Bisiklet Kiralama:** Eğer kendinize güveniyorsanız kiralayın, ancak trafiğin hızına ayak uydurmak ilk başta zorlayıcı olabilir.",🚇 Transportation Tips,"- **Walking & Trams:** Exploring the city by foot or on the famous blue-and-white trams is the easiest way.
- **Free Ferries:** Take the ferries from behind the Central Station to the ""North"" (Noord) part of Amsterdam for free. It shows a more modern and edgy face of the city.
- **Bike Rental:** Rent one if you feel confident, but keeping up with the speed and rules of the local traffic can be challenging at first."
Amsterdam,5,💎 Lokal Sırlar & İpuçları,"- **[Gizli Avlu (Begijnhof)](search:Begijnhof):** Kalabalık alışveriş caddesinin ortasındaki gizli bir kapıdan girilen bu 14. yüzyıl avlusu, şehrin en sessiz ve huzurlu noktasıdır.
- **[NDSM Wharf](search:NDSM Wharf):** Eski bir tersane bölgesidir; feribotla geçilen bu alan sokak sanatı, sanatçılar ve endüstriyel kafelerle doludur.
- **Saygı:** Red Light District'te fotoğraf çekmek yasaktır ve büyük bir saygısızlıktır. Lütfen kurallara uyun.",💎 Local Secrets & Insights,"- **[Hidden Courtyard (Begijnhof)](search:Begijnhof):** Entered through a discrete door in the middle of the busy shopping street, this 14th-century courtyard is the quietest spot in town.
- **[NDSM Wharf](search:NDSM Wharf):** An old shipyard area accessible by ferry; this space is filled with street art, artist studios, and industrial-style cafes.
- **Respect:** Taking photos in the Red Light District is forbidden and disrespectful. Please follow the local rules."
Antalya,1,📅 Ne Zaman Gidilir?,"- **İlkbahar ve Sonbahar:** Nisan-Mayıs ve Eylül-Ekim ayları hem gezmek hem de denize girmek için en ideal sıcaklıkları sunar.
- **Yaz:** Çok sıcak olabilir ama gece hayatı ve plajlar en canlı dönemini yaşar.
- **İpucu:** Ekim ayında deniz suyu hala sıcacıktır ve kalabalıklar azalmıştır.",📅 Best Time to Visit,"- **Spring & Autumn:** April-May and September-October offer perfect temperatures for both sightseeing and swimming.
- **Summer:** Can be intensely hot, but the beaches and nightlife are at their peak.
- **Tip:** In October, the sea water is still warm, and the summer crowds have dispersed."
Antalya,2,🏘️ Semt Rehberi,"- **Kaleiçi:** Şehrin kalbi. Tarihi Osmanlı evleri, Hadrian Kapısı ve daracık sokaklarıyla görsel bir şölen.
- **Lara:** Daha modern, lüks kafeler ve restoranların olduğu, sahil şeridi boyunca uzanan bölge.
- **Konyaaltı:** Şehrin diğer ucu; uzun plajı ve arkasındaki heybetli dağ manzarasıyla ünlüdür.",🏘️ Neighborhood Guide,"- **Kaleiçi (Old Town):** The historic heart. A visual feast of Ottoman houses, Hadrian's Gate, and narrow cobbled streets.
- **Lara:** The modern side, stretching along the cliffs with upscale cafes, restaurants, and parks.
- **Konyaaltı:** Famous for its long pebble beach backed by majestic mountains."
Antalya,3,🍽️ Ne Yenir ve İçilir?,"- **Piyaz:** Antalya usulü piyaz tahinli olur! Köftenin yanında mutlaka isteyin. *Piyazcı Sami* bir klasiktir.
- **Yanık Dondurma:** Keçi sütünden yapılan ve hafif yanık tadı olan bu dondurma şehre özgüdür.
- **Serpme Börek:** Sabah kahvaltısında incecik açılmış, kıymalı veya peynirli serpme börek yemeden dönmeyin.",🍽️ Food & Dining Etiquette,"- **Piyaz:** Antalya-style bean salad is unique because it's made with tahini! A must-have side dish with meatballs.
- **Burnt Ice Cream (Yanık Dondurma):** Made from goat's milk with a distinct smoky flavor—a local specialty you won't find elsewhere.
- **Serpme Börek:** Don't miss this flaky, hand-tossed pastry filled with cheese or meat for breakfast."
Antalya,4,🚇 Ulaşım İpuçları,"- **Antray:** Havalimanından şehir merkezine ve otogara ulaşım için modern tramvay hattını kullanın.
- **Nostaljik Tramvay:** Kaleiçi'nin üst tarafında sahil boyunca giden bu tramvay harika manzaralar sunar.",🚇 Transportation Tips,"- **Antray:** Use the modern tram line to travel easily between the airport, city center, and bus terminal.
- **Nostalgic Tram:** Runs along the coast above Kaleiçi, offering stunning panoramic views."
Antalya,5,💎 Lokal Sırlar & İpuçları,"- **[Düden Şelalesi](search:Duden Waterfalls):** Şelalenin denize döküldüğü noktayı görmek için Lara tarafındaki parka gidin; manzara büyüleyicidir.
- **[Falezler](search:Falezler):** Konyaaltı Varyant'tan inerek falezlerin altındaki plajları keşfedin; su burada kristal berraklığındadır.
- **[Likya Yolu](search:Lycian Way):** Dünyanın en iyi yürüyüş rotalarından biri buradan başlar; en azından kısa bir parkurunu yürüyün.",💎 Local Secrets & Insights,"- **[Lower Düden Waterfall](search:Duden Waterfalls):** Visit the park in Lara to see the massive waterfall plunging directly into the sea—it's a spectacular sight.
- **[The Cliffs](search:Antalya Cliffs):** Explore the beach clubs tucked under the massive cliffs near Variant for crystal-clear water.
- **[Lycian Way](search:Lycian Way):** One of the world's best hiking trails starts nearby; try walking a short section for breathtaking views."
