name,photo_file,photo_url,place_id
Lola,prag_venue_photos/lola.jpg,https://lh3.googleusercontent.com/places/ANXAkqH3ZzT3DUtHoZzrurAekPHR4J8KinVE7YWBvxuiNVWbwVcmw035vVwePTwe3KJt9vafYapaSH7aD801jb1rpv82lgBJuy65vBw=s1600-w800,ChIJJ-BrCgCVC0cRBZNxcrhy93M
Bublina,prag_venue_photos/bublina.jpg,https://lh3.googleusercontent.com/gps-cs-s/AHVAweq8sBnFTQPoqrRsxw1q05EGpI4pGKl4I8yO-BnUnef-T9V7PKlkaoO-7Pv45Qi2py01XAkBIEF8HLxDhE_1Mx-kFO_tLJ9G4_eEfAptdyx7dnXjP2bEjiGgvvmutLPNoeyd7rdp2u_axn0=s1600-w800,ChIJdRBFdYWVC0cRTpG90E8VLqg
420 Restaurant,prag_venue_photos/420_restaurant.jpg,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqPo9kGoVDZhqJqgL1k895TAO8ZFsMecG1UaxvYns3jT-GtlnMN4rPWh6dUPfkCWbIXTn5SxVz7teMLGIVHe1wjgrgzaWm0LrS03CGz6NLSSB-ufD68c0l5Xwt5w_wCXrpUUO_xSj5pKUiG=s1600-w800,ChIJk1eLxhuVC0cRj_OcjFRHcgY
Skô,prag_venue_photos/skô.jpg,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqCAVsS-UU06QDEYWYwCZyKxCh7eBQA6tzmr8Ayv2_oMHkRBZ3pwuDB05VFUZaSPn10e4GHaWqVWiwr9u2xdBGBSHKu8Wx1djEKoy6bK_EmsHZv-G-ZpmAF3PDfUww55t01GHmUGewZ3mI9=s1600-w800,ChIJbTq0QwCVC0cR32QzIl0-Vnc
Nai,prag_venue_photos/nai.jpg,https://lh3.googleusercontent.com/places/ANXAkqGjbDeJhd3LT-L-6pn-KVYyDjNdEiixRliv_8xP0GjfhTdGoBFdIGCv3VB7PYnfxZ6tcJplZG4p3iPOjr42cnDXCaS8VGRHT5U=s1600-w800,ChIJu_reYRyVC0cRxttQ8SdxEnQ
Sandwich Rodeo,prag_venue_photos/sandwich_rodeo.jpg,https://lh3.googleusercontent.com/gps-cs-s/AHVAweqmyeq2VLF8Iq1GGZsqHtp-0aYwzXSI-TVNzCi1SzjSCdFdpl0zGQjXANSKYl9mE9dHHJR912lKz2ccPsvRJ0IoyV07dN-ddVorQBFOpGEqhc2xnRWunMHUYJeJmytb9hvKD6Sq=s1600-w800,ChIJPSjn5niVC0cRFO37aqB6jh4
Restaurant Talíř,prag_venue_photos/restaurant_talíř.jpg,https://lh3.googleusercontent.com/places/ANXAkqFqfoq3DYUUS4YUeAJHcn23CzKbciNgqugECbQlcMYdgIf0h1boswf8i0F5zeJdVLw1ANANRHzA3aDvznp7znNG6tFPH2YZuEg=s1600-w800,ChIJS0e6WDaVC0cRlryV_cSvDZs
La Bottega Linka,prag_venue_photos/la_bottega_linka.jpg,https://lh3.googleusercontent.com/gps-cs-s/AHVAweoFUjSyT9JtTJcS1igms1j98nTLBI2esJ2T2r8b8Z0C7R0oyWODY2CTcyR2alaw8962CHfcnZWxPMqpZ4rpPJDpwmLC6jdD0jBLrzqPA1ErQn9eVFKBCdpwwmkeYKYhUDoZaYIaauqeVjA=s1600-w800,ChIJRVNrRZWUC0cRM6LLQSJbLOk
Restaurant Zvonice,prag_venue_photos/restaurant_zvonice.jpg,https://lh3.googleusercontent.com/places/ANXAkqGWtRQUeI42E8LQl6xKlt2OyAbxlxfkvFHuZX7kPEKP2UhuxA9GiazHFShki47qwG_iE4ecQBpVqQ6zyUcEfBeO5cfhiWCOmkM=s1600-w800,ChIJmbWmIO2UC0cR_Gua9yvxWaw
Mlýnec,prag_venue_photos/mlýnec.jpg,https://lh3.googleusercontent.com/places/ANXAkqGoLgSBHSSejTeFu54UDYCQUfClIPL8GaZyBvob8i_8-S193uSRk1aKx1ry4t0gv0R6dYw3c1yil9tMnv9es8hUlPUdwPhyc5M=s1600-w800,ChIJq8Kqk-WUC0cR1qKYFrCBV84
